RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
111,,428,Chemdawg,Pouches 3.5,102,24,1,,"2,448",3.50,"8,568.00",8.568,26.21%,
111,,431,Cherry Noir,Pouches 3.5,3,24,1,,72,3.50,252.00,0.252,22.72%,
111,,NP383,Cherry Noir,Pouches 15.0,29,24,1,23,719,15.00,"10,785.00",10.785,,
111,,246261H,Cherry Noir/Mandarin,Hash 1.0,21,24,1,23,527,1.00,527.00,0.527,,
111,,246261H,Cherry Noir/Mandarin,Hash 2.0,5,24,1,,120,2.00,240.00,0.240,,
111,,400,Gas Paradise,Pouches 15.0,6,12,1,,72,15.00,"1,080.00",1.080,26.34%,
111,,ICC0416,ICC Sorbet,Pouches 3.5,3,24,1,,72,3.50,252.00,0.252,,
111,,10403760-02,Liquid Imagination,Prérouler 0.75,9,48,3,30,"1,326",0.75,994.50,0.995,,
111,,386,Purple Chitral,Popcorn/Shake,,,,324,324,1.00,324.00,0.324,27.84%,Retail
111,,393,Medellin,Pouches 3.5,15,24,1,149,509,3.50,"1,781.50",1.782,28.30%,
111,,403,Medellin,Pouches 3.5,60,24,1,,"1,440",3.50,"5,040.00",5.040,29.78%,
111,,450,Medellin,Pouches 3.5,64,24,1,,"1,536",3.50,"5,376.00",5.376,29.30%,
111,,450,Medellin,RND|Popcorn/Shake,,,,9,9,1.00,9.00,0.009,29.30%,
111,,338H,Medellin,Hash 3.0,3,24,1,,72,3.00,216.00,0.216,,
111,,352,Purple Chitral,Jars 3.5,1,24,1,,24,3.50,84.00,0.084,21.52%,
111,,386,Purple Chitral,Jars 3.5,7,24,1,,168,3.50,588.00,0.588,27.84%,
111,,386,Purple Chitral,Jars 3.5,8,24,1,,192,3.50,672.00,0.672,27.84%,
111,,386,Purple Chitral,RND|Popcorn/Shake,,,,47,47,1.00,47.00,0.047,27.84%,
111,,428,Sage N Sour,Pouches 15.0,79,12,1,,948,15.00,"14,220.00",14.220,26.21%,
111,,428,Sage N Sour,Pouches 3.5,100,24,1,,"2,400",3.50,"8,400.00",8.400,26.21%,
111,,120472,Sage N Sour,Hash 3.0,69,24,1,,"1,656",3.00,"4,968.00",4.968,,
111,,96332,Slurricane #7,Pouches 28.0,8,12,1,,96,28.00,"2,688.00",2.688,,
111,,450,Medellin,Shred,,,,18000,"18,000",1.00,"18,000.00",18.000,29.30%,Retail
111,,SSW23V2,Sweet N Sour,Pouches 3.5,3,24,1,,72,3.50,252.00,0.252,,
111,,SSW23V2,Sweet N Sour,Prérouler 0.6,1,48,1,,48,0.60,28.80,0.029,,
115,A1,MAC109,Alien Cookies,Large Flower,,,,2172,"2,172",1.00,"2,171.60",2.172,,Retail
115,A1,MAC109,Alien Cookies,Pouches 1.0,1,7,1,,7,1.00,7.00,0.007,,
115,A1,MAC109,Alien Cookies,RND,,,,5,5,1.00,4.50,0.005,,
115,A1,208A,Mandarin,Large Flower,3,1000,1,1760,"4,760",1.00,"4,759.50",4.760,,Retail
115,A1,118923,Cherry Noir/Mandarin,Hash,,,,5699,"5,699",1.00,"5,698.64",5.699,,
115,A1,238260H,Cherry Noir/Mandarin,Hash 1.0,1,2,1,,2,1.00,2.00,0.002,,
115,A1,374,Gas Paradise,Pouches 15.0,1,1,1,,1,15.00,15.00,0.015,26.20%,
115,A1,ICC0416,ICC Sorbet,Pouches 3.5,1,1,2,,2,3.50,7.00,0.007,,
115,A1,ICC0416,ICC Sorbet,RND|Popcorn/Shake,,,,40,40,1.00,39.70,0.040,,
115,A1,386,Purple Chitral,Popcorn/Shake,,,,8757,"8,757",1.00,"8,757.30",8.757,27.84%,Retail
115,A1,388H,Medellin,Hash,,,,6768,"6,768",1.00,"6,767.96",6.768,,
115,A1,395,Sage N Sour,Pouches 3.5,1,3,1,,3,3.50,10.50,0.011,27.69%,
115,A1,399,Sage N Sour,Pouches 15.0,1,1,1,,1,15.00,15.00,0.015,29.68%,
115,A1,399,Sage N Sour,Pouches 3.5,1,1,1,,1,3.50,3.50,0.004,29.68%,
115,A1,120472,Sage N Sour,Hash,,,,28770,"28,770",1.00,"28,770.00",28.770,,
115,A1,220329,Sage N Sour,Hash,,,,188,188,1.00,187.60,0.188,,
115,A1,ICC0416,ICC Sorbet,Popcorn/Shake,,,,4160,"4,160",1.00,"4,160.40",4.160,,Wholesale
115,A1,208A,Mandarin,Popcorn/Shake,,,,104,104,1.00,104.00,0.104,,Wholesale
115,A2,390,Blueberry Kush,Large Flower,,,,4186,"4,186",1.00,"4,185.90",4.186,23.89%,Retail
115,A2,289,Gelonade,Large Flower,,,,5632,"5,632",1.00,"5,632.00",5.632,22.76%,Retail
115,A2,390,Blueberry Kush,RND|Popcorn/Shake,,,,86,86,1.00,85.60,0.086,23.89%,
115,A2,352,Purple Chitral,Large Flower,20,1000,1,712,"20,712",1.00,"20,712.10",20.712,21.52%,Retail
115,A2,246261H,Cherry Noir/Mandarin,Hash,,,,409,409,1.00,408.50,0.409,,
115,A2,246261H,Cherry Noir/Mandarin,RND|Hash,,,,4,4,1.00,4.10,0.004,,
115,A2,185,Mandarin,Prérouler 0.6,1,48,3,,144,0.60,86.40,0.086,21.61%,
115,A2,352,Purple Chitral,Popcorn/Shake,,,,1732,"1,732",1.00,"1,731.50",1.732,21.52%,Retail
115,A2,352,Purple Chitral,Jars 3.5,7,24,1,,168,3.50,588.00,0.588,21.52%,
115,A2,352,Purple Chitral,RND|Popcorn/Shake,,,,21,21,1.00,21.40,0.021,21.52%,
115,A2,390,Blueberry Kush,Popcorn/Shake,,,,5158,"5,158",1.00,"5,158.40",5.158,23.89%,Wholesale
115,A2,428,Chemdawg,Popcorn/Shake,,,,4007,"4,007",1.00,"4,006.90",4.007,26.21%,Wholesale
115,B1,111596,Apple Fritter,Large Flower,,,,20918,"20,918",1.00,"20,918.20",20.918,,Retail
115,B1,402,Blue Chem,Large Flower,2,1000,1,860,"2,860",1.00,"2,859.80",2.860,20.20%,Retail
115,B1,111596,Apple Fritter,Pouches 3.5,1,1,1,,1,3.50,3.50,0.004,,
115,B1,111596,Apple Fritter,RND|Popcorn/Shake,,,,13,13,1.00,13.10,0.013,,
115,B1,402,Blue Chem,RND|Popcorn/Shake,,,,14,14,1.00,14.20,0.014,20.20%,
115,B1,SSW23V2,Sweet N Sour,Pouches 3.5,1,24,1,,24,3.50,84.00,0.084,,
115,B1,111596,Apple Fritter,Popcorn/Shake,,,,754,754,1.00,753.50,0.754,,Wholesale
115,B1,402,Blue Chem,Popcorn/Shake,,,,747,747,1.00,746.50,0.747,20.20%,Wholesale
