RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
111,,106416,Chemdawg,Hash,,,,14338,"14,338",1,"14,338.44",14.338
111,,400,Gas Paradise,Large Flower,,,,16432,"16,432",1,"16,431.60",16.432
111,,388,Medellin,Shred,,,,13900,"13,900",1,"13,900.00",13.9
111,,388,Medellin,Prérouler 0.35,,,,1197,"1,197",0.35,418.95,0.419
111,,388,Medellin,Defect|Prérouler 0.35,,,,170,170,0.35,59.5,0.06
111,,343,Chemdawg,Shred,,,,4812,"4,812",1,"4,812.00",4.812
111,,343,Chemdawg,Prérouler 0.6,,,,8073,"8,073",0.6,"4,843.80",4.844
111,,NP383,Cherry Noir,Shred,,,,3478,"3,478",1,"3,477.70",3.478
111,,432,Chemdawg,Large Flower,,,,2197,"2,197",1,"2,196.80",2.197
111,,432,Chemdawg,Popcorn/Shake,,,,7529,"7,529",1,"7,529.00",7.529
111,,432,Chemdawg,RND,,,,116,116,1,115.5,0.116
111,,432,Chemdawg,Pouches 3.5,175,24,1,,"4,200",3.5,"14,700.00",14.7
111,,432,Chemdawg,Pouches 15.0,100,12,1,,"1,200",15,"18,000.00",18
111,,NP383,Cherry Noir,Pouches 15.0,18,24,1,,432,15,"6,480.00",6.48
111,,87980,Apple Fritter,Pouches 28.0,50,12,1,,600,28,"16,800.00",16.8
111,,PNL-S03,Platinum Northen Lights,Pouches 28.0,10,12,1,,120,28,"3,360.00",3.36
111,,403,Medellin,Pouches 3.5,42,24,1,,"1,008",3.5,"3,528.00",3.528
111,RACK,ICC0416/431,Cherry Noir,Pouches 7.0,13,12,1,,156,7,"1,092.00",1.092
111,RACK,396H,Chemdawg,Hash 3.0,28,24,1,,672,3,"2,016.00",2.016
111,RACK,390,Blueberry Kush,Jars 3.5,15,24,1,,360,3.5,"1,260.00",1.26
111,RACK,269,Blue Chemo,Jars 3.5,6,24,1,,144,3.5,504,0.504
111,,386,Purple Chitral,Jars 3.5,9,24,1,,216,3.5,756,0.756
111,,402,Blue Dream,Pouches 3.5,11,24,1,,264,3.5,924,0.924
111,,SSW23V2,Sweet N Sour,Pouches 3.5,2,24,1,,48,3.5,168,0.168
111,,10403760-01,Liquid Imagination,Prérouler 0.75,10,48,3,,"1,440",0.75,"1,080.00",1.08
111,,246261H,Cherry Noir/Mandarin,Hash 1.0,9,24,1,,216,1,216,0.216
111,,246261H,Cherry Noir/Mandarin,Hash 2.0,2,24,1,,48,2,96,0.096
111,,238260H,Cherry Noir/Mandarin,Hash 2.0,1,24,1,,24,2,48,0.048
111,,374,Gas Paradise,Pouches 15.0,4,12,1,,48,15,720,0.72
111,,388H,Medellin,Hash,,,,9016,"9,016",1,"9,015.51",9.016
111,,MAC109,Alien Cookies,Pouches 1.0,2,48,1,,96,1,96,0.096
115,A1,185,Mandarin,Prérouler 0.6,1,48,3,,144,0.6,86.4,0.086
115,A1,374,Gas Paradise,Pouches 15.0,1,1,1,,1,15,15,0.015
115,A1,386,Purple Chitral,Jars 3.5,26,24,1,,624,3.5,"2,184.00",2.184
115,A1,386,Purple Chitral,Large Flower,,,,7141,"7,141",1,"7,141.40",7.141
115,A1,386,Purple Chitral,Popcorn/Shake,,,,8757,"8,757",1,"8,757.30",8.757
115,A1,386,Purple Chitral,RND,,,,47,47,1,46.5,0.047
115,A1,395,Sage N Sour,Pouches 3.5,1,3,1,,3,3.5,10.5,0.011
115,A1,399,Sage N Sour,Pouches 15.0,1,1,1,,1,15,15,0.015
115,A1,399,Sage N Sour,Pouches 3.5,1,1,1,,1,3.5,3.5,0.004
115,A1,432,Sage N Sour,Pouches 3.5,105,24,1,,"2,520",3.5,"8,820.00",8.82
115,A1,208A,Mandarin,Large Flower,,,,4760,"4,760",1,"4,759.50",4.76
115,A1,208A,Mandarin,Popcorn/Shake,,,,104,104,1,104,0.104
115,A1,MAC109,Alien Cookies,Pouches 1.0,15,48,1,7,727,1,727,0.727
115,A1,MAC109,Alien Cookies,Large Flower,,,,2172,"2,172",1,"2,171.60",2.172
115,A1,MAC109,Alien Cookies,Popcorn/Shake,,,,166,166,1,166.1,0.166
115,A1,MAC109,Alien Cookies,RND,,,,5,5,1,4.5,0.005
115,A1,238260H,Cherry Noir/Mandarin,Hash 1.0,1,2,1,,2,1,2,0.002
115,A1,220329,Sage N Sour,Hash,,,,188,188,1,187.6,0.188
115,A2,352,Purple Chitral,Jars 3.5,12,24,1,,288,3.5,"1,008.00",1.008
115,A2,352,Purple Chitral,Large Flower,,,,20712,"20,712",1,"20,712.10",20.712
115,A2,352,Purple Chitral,Popcorn/Shake,,,,1732,"1,732",1,"1,731.50",1.732
115,A2,352,Purple Chitral,RND,,,,21,21,1,21.4,0.021
115,A2,390,Blueberry Kush,Large Flower,,,,10005,"10,005",1,"10,004.80",10.005
115,A2,390,Blueberry Kush,Popcorn/Shake,,,,3830,"3,830",1,"3,830.10",3.83
115,A2,390,Blueberry Kush,RND,,,,69,69,1,69.2,0.069
115,A2,390,Blueberry Kush,Jars 3.5,29,24,1,,696,3.5,"2,436.00",2.436
115,A2,432,Sage N Sour,Pouches 3.5,81,24,1,,"1,944",3.5,"6,804.00",6.804
115,A2,87980,Apple Fritter,Large Flower,,,,30609,"30,609",1,"30,608.50",30.609
115,A2,87980,Apple Fritter,Popcorn/Shake,,,,1046,"1,046",1,"1,045.50",1.046
115,A2,87980,Apple Fritter,RND,,,,41,41,1,41,0.041
115,B1,396H,Chemdawg,Hash,,,,11,11,1,11.3,0.011
115,B1,396H,Chemdawg,RND|Hash,,,,14,14,1,13.8,0.014
115,B1,343,Chemdawg,Shred,,,,13500,"13,500",1,"13,500.00",13.5
115,B1,343,Chemdawg,Prérouler 0.6,,,,250,250,0.6,150,0.15
115,B1,402,Blue Dream,Pouches 3.5,2,24,1,,48,3.5,168,0.168
115,B1,402,Blue Dream,Large Flower,,,,2229,"2,229",1,"2,229.30",2.229
115,B1,402,Blue Dream,Popcorn/Shake,,,,194,194,1,193.5,0.194
115,B1,402,Blue Dream,RND,,,,13,13,1,12.97,0.013
115,B1,331B,Neville Haze,Large Flower,,,,1557,"1,557",1,"1,556.70",1.557
115,B1,331B,Neville Haze,Popcorn/Shake,,,,2700,"2,700",1,"2,699.70",2.7
115,B1,331B,Neville Haze,RND,,,,45,45,1,45.1,0.045
115,B1,246261H,Cherry Noir/Mandarin,Hash 2.0,1,18,1,,18,2,36,0.036
115,B1,ICC0416,ICC Sorbet,Pouches 3.5,1,2,1,,2,3.5,7,0.007
115,B1,ICC0416,ICC Sorbet,Large Flower,,,,3903,"3,903",1,"3,902.50",3.903
115,B1,ICC0416,ICC Sorbet,Popcorn/Shake,,,,1753,"1,753",1,"1,753.20",1.753
115,B1,ICC0416,ICC Sorbet,RND,,,,29,29,1,29.3,0.029
115,B1,PNL-S03,Platinum Northen Lights,Pouches 28.0,6,12,1,,72,28,"2,016.00",2.016
115,B1,PR286393,Medellin/Purple Chitral,Shred,,,,2832,"2,832",1,"2,831.90",2.832
115,B1,PR286393,Medellin/Purple Chitral,Defect|Prérouler 0.35,,,,6,6,0.35,2.1,0.002
115,B1,PR286393,Medellin/Purple Chitral,RND|Prérouler 0.35,,,,12,12,0.35,4.2,0.004
115,B1,PR286393,Medellin/Purple Chitral,Prérouler 0.35,,,,2348,"2,348",0.35,821.8,0.822
115,B1,SSW23V2,Sweet N Sour,Pouches 3.5,14,24,1,,336,3.5,"1,176.00",1.176
115,B2,431,Cherry Noir,Large Flower,,,,54133,"54,133",1,"54,133.00",54.133
115,B2,431,Cherry Noir,Popcorn/Shake,,,,2631,"2,631",1,"2,631.10",2.631
115,B2,431,Cherry Noir,RND,,,,36,36,1,35.5,0.036
115,B2,ICC0416/431,Cherry Noir,Pouches 7.0,1,22,1,,22,7,154,0.154
115,B2,SSW23V2,Sweet N Sour,Prérouler 0.6,,,,650,650,0.6,390,0.39
115,B2,SSW23V2,Sweet N Sour,Shred,,,,1306,"1,306",1,"1,306.00",1.306
115,B2,SSW23V2,Sweet N Sour,Defect|Prérouler 0.6,,,,198,198,0.6,118.8,0.119
115,B2,SSW23V2,Sweet N Sour,RND|Prérouler 0.6,,,,1,1,0.6,0.6,0.001
115,C1,246261H,Cherry Noir/Mandarin,Hash,,,,1512,"1,512",1,"1,512.00",1.512
115,C1,269,Blue Chemo,Large Flower,,,,10763,"10,763",1,"10,763.00",10.763
115,C1,269,Blue Chemo,RND,,,,106,106,1,106,0.106
115,C1,269,Blue Chemo,Jars 3.5,17,24,1,,408,3.5,"1,428.00",1.428
115,C1,403,Medellin,Large Flower,,,,12000,"12,000",1,"12,000.00",12
115,C1,246261H,Cherry Noir/Mandarin,RND|Hash,,,,4,4,1,4,0.004
115,C1,246261H,Cherry Noir/Mandarin,Hash 1.0,15,24,1,,360,1,360,0.36
115,C1,269PR,Blue Chemo,QA|Prérouler 0.35,,,,18334,"18,334",0.35,"6,416.90",6.417
115,C1,274PR,Blue Chemo,QA|Prérouler 0.35,,,,14152,"14,152",0.35,"4,953.20",4.953
115,C1,AF0341,Apple Fritter,Popcorn/Shake,,,,2639,"2,639",1,"2,638.90",2.639
115,C1,AF0341,Apple Fritter,RND,,,,24,24,1,24.2,0.024
115,C1,PNL-S03,Platinum Northen Lights,Large Flower,,,,324,324,1,323.7,0.324
115,C1,PNL-S03,Platinum Northen Lights,Popcorn/Shake,,,,531,531,1,531.1,0.531
115,C1,PNL-S03,Platinum Northen Lights,RND,,,,24,24,1,23.7,0.024
115,C1,SD0239,Sundae Driver,Popcorn/Shake,,,,1867,"1,867",1,"1,866.80",1.867
115,C1,SD0239,Sundae Driver,RND,,,,57,57,1,56.5,0.057
115,C1,395H,Sage N Sour,Hash 3.0,1,1,1,,1,3,3,0.003
115,C1,395H,Sage N Sour,Hash,,,,10,10,1,9.9,0.01
115,C1,395H,Sage N Sour,RND|Hash,,,,6,6,1,5.8,0.006
115,C2,343,Chemdawg,RND|Shake,,,,1931,"1,931",1,"1,930.70",1.931
115,C2,368,Blueberry Kush,Popcorn,,,,2556,"2,556",1,"2,555.50",2.556
115,C2,368,Blueberry Kush,Popcorn/Shake,,,,1405,"1,405",1,"1,405.10",1.405
115,C2,368,Blueberry Kush,RND,,,,52,52,1,51.6,0.052
115,C2,374,Gas Paradise,Popcorn,,,,322,322,1,321.5,0.322
115,C2,374,Gas Paradise,Popcorn/Shake,,,,7611,"7,611",1,"7,611.00",7.611
115,C2,374,Gas Paradise,RND,,,,79,79,1,78.6,0.079
115,C2,386,Purple Chitral,Popcorn,,,,1524,"1,524",1,"1,523.50",1.524
115,C2,388,Medellin,RND|Large Flower,,,,145,145,1,144.7,0.145
115,C2,388,Medellin,RND|Shred,,,,398,398,1,397.7,0.398
115,C2,400,Gas Paradise,Large Flower,,,,12000,"12,000",1,"12,000.00",12
115,C2,250PR,Blue Chemo,Prérouler 0.35,21,48,3,3300,"6,324",0.35,"2,213.40",2.213
115,C2,250PR,Blue Chemo,RND|Prérouler 0.35,,,,6,6,0.35,2.1,0.002
115,C2,250PR,Blue Chemo,Defect|Prérouler 0.35,,,,205,205,0.35,71.75,0.072
115,C2,265PR,Blue Chemo,Prérouler 0.35,,,,26900,"26,900",0.35,"9,415.00",9.415
115,C2,AF0319,Apple Fritter,Popcorn/Shake,,,,1647,"1,647",1,"1,646.70",1.647
115,C2,AF0319,Apple Fritter,RND,,,,0,0,1,0.3,0
